2019-12-20 10:01:00,261 INFO [root] [test_login.py(test_login:41)] - login success data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '01552f38-ab41-41ca-b36e-45af882f5e1d', 'status_code': 200}
2019-12-20 10:01:00,292 INFO [root] [test_login.py(test_login:41)] - login success data:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None, 'status_code': 200}
2019-12-20 10:01:00,308 INFO [root] [test_login.py(test_login:41)] - login success data:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None, 'status_code': 200}
2019-12-20 10:01:00,339 INFO [root] [test_login.py(test_login:41)] - login success data:{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None, 'status_code': 200}
2019-12-20 10:01:00,355 INFO [root] [test_login.py(test_login:41)] - login success data:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None, 'status_code': 200}
2019-12-20 10:01:00,370 INFO [root] [test_login.py(test_login:41)] - login success data:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None, 'status_code': 200}
2019-12-20 10:01:00,495 INFO [root] [test_employee.py(test01_add_emp:89)] - add emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1207843316099796992'}, 'status_code': 200}
2019-12-20 10:01:00,511 INFO [root] [test_employee.py(test02_search_emp:104)] - serach emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1207843316099796992', 'mobile': '13612001002', 'username': 'tom03', 'password': '5339edd17a7cb840acebc54e73d76cd9', 'enableState': 1, 'createTime': None, 'companyId': '1', 'companyName': '传智播客', 'departmentId': '1066240656856453120', 'timeOfEntry': '2019-07-01T00:00:00.000+0000', 'formOfEmployment': 1, 'workNumber': '1002', 'formOfManagement': None, 'workingCity': None, 'correctionTime': '2019-11-30T00:00:00.000+0000', 'inServiceStatus': None, 'departmentName': None, 'roleIds': [], 'staffPhoto': None}, 'status_code': 200}
2019-12-20 10:01:00,652 INFO [root] [test_employee.py(test03_update_emp:115)] - update emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1207843316099796992'}, 'status_code': 200}
2019-12-20 10:01:00,729 INFO [root] [test_employee.py(test04_delete_emp:148)] - delete emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': None, 'status_code': 200}
2019-12-20 21:41:28,178 INFO [root] [test_login.py(test_login_success:66)] - login success data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'c96fa665-1952-4aa8-b55c-0c406af99e5d', 'status_code': 200}
2019-12-20 21:41:57,665 INFO [root] [test_employee.py(test01_add_emp_01:103)] - add emp data:{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None, 'status_code': 200}
2019-12-20 21:43:04,812 INFO [root] [test_employee.py(test01_add_emp_01:103)] - add emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1208019990573568000'}, 'status_code': 200}
2019-12-20 21:43:50,447 INFO [root] [test_employee.py(test01_add_emp_01:103)] - add emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1208020181947076608'}, 'status_code': 200}
2019-12-20 21:44:38,196 INFO [root] [test_employee.py(test01_add_emp_01:103)] - add emp data:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1208020382254452736'}, 'status_code': 200}
2019-12-20 21:45:42,022 INFO [root] [test_employee.py(test01_add_emp_01:103)] - add emp data:{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None, 'status_code': 200}
2019-12-20 21:46:25,855 INFO [root] [test_employee.py(test01_add_emp_01:103)] - add emp data:{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None, 'status_code': 200}
